lab_name,plan_id,nb_features,days_subscribed,nb_cases_month,nb_units_month,nb_other_settings_month,nb_other_products_month,nb_clients_month,nb_shipping_zipcodes_month,cluster_5,cluster_6
B5N-A879,8,21,1494,370,629,0,40,370,370,1,2
B8N-A695,9,1,418,427,700,145,1,427,368,3,6
B8Y-A863,9,1,339,23,42,2,0,23,15,3,6
B171-D280,7,10,702,32,38,2,0,32,27,3,6
B22S-E914,9,23,610,152,306,0,1,152,144,1,2
B22S-E359,7,17,770,279,352,19,0,279,272,1,2
B13L-L767,4,23,886,3180,4318,1075,1611,3180,3175,4,4
B14S-L403,9,1,516,34,61,0,0,34,34,3,6
B14B-L498,6,20,1640,181,348,0,0,181,140,1,2
B5N-O911,7,23,775,337,465,0,1,337,337,1,2
B7B-O136,6,19,1601,15,57,0,0,15,15,1,2
B15B-O604,7,17,767,47,77,0,0,47,33,1,2
B11Y-R264,9,3,319,16,28,0,0,16,16,3,6
B17B-R206,11,14,530,474,722,1,0,474,425,3,1
B17B-R595,4,21,127,2,4,0,0,2,2,3,6
B17B-R283,5,8,821,90,136,44,43,90,90,3,6
B11N-R160,6,19,1891,83,213,0,0,83,83,1,2
B15B-U917,5,3,1037,65,89,17,0,65,65,3,6
B4L-V430,4,21,199,773,1767,42,1,773,773,5,1
B8N-Y647,11,15,646,339,695,0,0,339,339,3,6
C16S-A346,5,19,943,212,335,19,0,212,212,1,2
C14S-A914,9,1,291,27,46,0,0,27,27,3,6
C10G-A962,6,19,752,46,65,0,0,46,45,1,2
C11L-A707,2,7,24,1,1,0,0,1,1,3,6
C17S-A498,11,14,320,166,311,113,8,166,165,3,6
C7L-A418,4,22,2069,722,952,0,0,722,722,5,1
C3B-C337,6,19,2035,189,313,2,0,189,176,1,2
C3I-D918,10,8,429,3,3,0,0,3,3,3,6
C10E-D970,9,1,506,38,130,0,4,38,38,3,6
C6T-E933,7,17,1178,670,1666,0,5,670,443,5,1
C8L-E333,11,15,415,363,474,41,40,363,354,3,6
C12T-E774,11,15,290,178,247,24,0,178,178,3,6
C10R-E894,10,8,323,659,1044,160,35,659,659,5,1
C9H-E983,11,14,353,100,217,0,4,100,100,3,6
C8K-E639,6,19,1613,78,135,0,0,78,78,1,2
C13S-E268,11,14,592,87,147,15,0,87,87,3,6
C15L-E563,6,21,1439,647,937,3,0,647,647,5,1
C23E-H530,7,17,745,484,1038,33,1030,484,484,5,1
C3A-I507,5,5,659,49,66,1,0,49,49,3,6
